sample,library,date,fastq_R1,notes
RSV-F-LibA-250402-TIM1-func-concat,RSV-F-LibA,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-func-1_S19_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-Nir-0_S27_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-func-2_S20_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250404-RSVF-TIM1-Nir-0_S41_L002_R1_001.fastq.gz,
RSV-F-LibA-250402-TIM1-VSV-concat,RSV-F-LibA,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-VSV-TIM1-1_S23_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-VSV-TIM1-2_S24_L002_R1_001.fastq.gz,
RSV-F-LibB-250402-TIM1-func-concat,RSV-F-LibB,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-TIM1-func-1_S21_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250404-RSVF-TIM1-func-3_S37_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-TIM1-func-2_S22_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250404-RSVF-TIM1-func-4_S38_L002_R1_001.fastq.gz,
RSV-F-LibB-250402-TIM1-VSV-concat,RSV-F-LibB,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-VSV-TIM1-1_S25_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250404-RSVF-VSV-TIM1-3_S39_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-VSV-TIM1-2_S26_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250404-RSVF-VSV-TIM1-4_S40_L002_R1_001.fastq.gz,
RSV-F-LibA-250418-TIM1-func-concat,RSV-F-LibA,20250418,/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibA-250418-RSVF-TIM1-func-2_S27_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibA-250418-RSVF-TIM1-func-1_S26_L002_R1_001.fastq.gz,
RSV-F-LibA-250418-TIM1-VSV-concat,RSV-F-LibA,20250418,/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibA-250418-RSVF-VSV-TIM1-2_S31_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibA-250418-RSVF-VSV-TIM1-1_S30_L002_R1_001.fastq.gz,
RSV-F-LibB-250418-TIM1-func-concat,RSV-F-LibB,20250418,/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibB-250418-RSVF-TIM1-func-1_S28_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibB-250418-RSVF-TIM1-func-2_S29_L002_R1_001.fastq.gz,
RSV-F-LibB-250418-TIM1-VSV-concat,RSV-F-LibB,20250418,/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibB-250418-RSVF-VSV-TIM1-1_S32_L002_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250423_LH00740_0069_B23332NLT3/Unaligned/CS_Lib_250418/LibB-250418-RSVF-VSV-TIM1-2_S33_L002_R1_001.fastq.gz,
RSV-F-LibA-250402-NoAntibody,RSV-F-LibA,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-Nir-0_S27_L002_R1_001.fastq.gz,
RSV-F-LibA-250402-Nir-104,RSV-F-LibA,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-Nir-104_S30_L002_R1_001.fastq.gz,
